#separator:tab
#html:false
earwig	Ohrwurm
gründlich	thoroughtly
thoroughtly	gründlich
berechtigt sein	to be entitled
to be entitled	berechtigt sein
husten	to cough
to cough	husten
Gelenk	joint
joint	Gelenk
Gliederschmerzen	body aches
body aches	Gliederschmerzen
Unglück	adversity
adversity	Unglück
Internat	boarding school
boarding school	Internat
Lappen	rag
rag	Lappen
Sieb	sieve
sieve	Sieb
demütig sein	to be humble
to be humble	demütig sein
sprechen (negative)	to utter
to utter	sprechen (negative)
subtil	subtly
subtly	subtil
unerschütterlich	irrepressible
irrepressible	unerschütterlich
schmutzig	filthy
filthy	schmutzig
verkohlt	charred
charred	verkohlt
gerührt	stirred
stirred	gerührt
springen	to leap
to leap	springen
verzweifeln	to despair
to despair	verzweifeln
Streit	quarrels
quarrels	Streit
Krampfadern	varicose ulcer
varicose ulcer	Krampfadern
Durchfall	diarrhea
diarrhea	Durchfall
Kalk	lime
lime	Kalk
Sternschnuppe	shooting star
shooting star	Sternschnuppe
sparsam	thrifty
thrifty	sparsam
etwas sehr genau prüfen	to scrutinise
to scrutinise	etwas sehr genau prüfen
behindern / verlangsamen	to hinder
to hinder	behindern / verlangsamen
honorieren	to renumerate
to renumerate	honorieren
Vergütigung	renumeration
renumeration	Vergütigung
nähren / pflegen	to nurture
to nurture	nähren / pflegen
verschlechtern	to deteriorate
to deteriorate	verschlechtern
umarmen / härtzlich empfangen	to embrace
to embrace	umarmen / härtzlich empfangen
Kontakt aufnehmen (formal)	to liaise with
to liaise with	Kontakt aufnehmen (formal)
die harte Wahrheit	the stark reality
the stark reality	die harte Wahrheit
schleichender Verdacht	sneaking suspicion
sneaking suspicion	schleichender Verdacht
Vorwürfe	accusations
accusations	Vorwürfe
jmd etwas vorwerfen	to accuse sb. of sth.
to accuse sb. of sth.	jmd etwas vorwerfen
etwas stark verdächtigen	to strongly suspect
to strongly suspect	etwas stark verdächtigen
Atemzug	gasp
gasp	Atemzug
etwas riskieren	to hazard sth.
to hazard sth.	etwas riskieren
reif	ripe / mature
ripe / mature	reif
Schläger	rackets
rackets	Schläger
die Wade	calf
calf	die Wade
Zahnschmerzen	toothache
toothache	Zahnschmerzen
satt sein	to be fed up
